Name;Größe;Vorname;Nachname;Downloads;Datum;Pfad
Lecture_1.pdf;820310;Markus;Fidler;1491;"26.03.2024 11:07";Lecture_1.pdf
Lecture_2.pdf;1247800;Markus;Fidler;743;"11.04.2024 11:58";Lecture_2.pdf
Lecture_3.pdf;1035286;Markus;Fidler;642;"16.04.2024 10:13";Lecture_3.pdf
Lecture_4.pdf;449952;Markus;Fidler;542;"23.04.2024 17:19";Lecture_4.pdf
Lecture_5.pdf;977976;Markus;Fidler;456;"23.04.2024 17:20";Lecture_5.pdf
Lecture_6.pdf;490759;Markus;Fidler;463;"23.04.2024 17:21";Lecture_6.pdf
Lecture_7.pdf;1448104;Markus;Fidler;226;"30.05.2024 08:23";Lecture_7.pdf
Lecture_8.pdf;579708;Markus;Fidler;240;"03.06.2024 11:09";Lecture_8.pdf
Lecture_9.pdf;373269;Markus;Fidler;211;"11.06.2024 11:23";Lecture_9.pdf
Lecture_10.pdf;391001;Markus;Fidler;149;"19.06.2024 08:37";Lecture_10.pdf
Lecture_11.pdf;267910;Markus;Fidler;65;"24.06.2024 10:30";Lecture_11.pdf
Lecture_12.pdf;391511;Markus;Fidler;55;"24.06.2024 10:31";Lecture_12.pdf
